GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BPMN Maven Plugin,com.github.jonasrutishauser.maven.plugin.bpmn,ModelsReportRenderer,38,660,8,32,0,126,6,33,0,19
BPMN Maven Plugin,com.github.jonasrutishauser.maven.plugin.bpmn,ReportConfiguration,0,76,0,12,0,15,0,16,0,10
BPMN Maven Plugin,com.github.jonasrutishauser.maven.plugin.bpmn,ReportMojo,135,341,18,20,7,56,16,19,4,12
